country,year,positive,examined,long,lat,utm_x,utm_y
Mali,2004,0,62,-11.234,14.885,259.6472129932783,1646.8106672841166
Mali,2004,0,29,-10.3501,15.3541,355.08417198363935,1697.9437828095818
Mali,2004,1,70,-4.901,15.718,939.4903766128365,1742.006589841383
Mali,2004,21,70,-9.522,12.349,443.24898543788976,1365.2011461552179
Mali,2004,0,54,-9.662,14.738,428.74274962694477,1629.452690620035
Mali,2004,0,66,-3.4442999,15.1509,1097.6727533990736,1682.6070249887293
Mali,2004,2,69,-10.312,13.544,358.03007012191864,1497.676626992696
Mali,2004,0,70,-6.8316998,11.8507,736.2202698447684,1310.9626651010744
Mali,2004,12,93,-7.918,12.633,617.5099264951596,1396.7938286690749
Mali,2004,0,63,-11.4511,13.6058,234.78640751352236,1505.4655346724035
Mali,2004,0,70,-9.086,13.393,490.6889321275134,1480.598393179515
Mali,2004,3,61,-4.818,13.882,952.2047118645268,1538.640792912434
Mali,2004,0,64,-10.95,14.527,289.8710156802685,1606.9083510565472
Mali,2004,0,69,-10.911,14.412,293.9688922994937,1594.1476437184654
Mali,2004,5,86,-6.1914001,13.4948,804.0629928130652,1493.5949549152642
Mali,2004,0,68,-5.7477999,12.6636,853.3146426438879,1402.1349915456503
Mali,2004,0,71,-5.3713002,11.4361,896.0646482313877,1266.6891323790358
Mali,2004,10,98,-6.1532001,13.5115,808.1801448619044,1495.4915673353498
Mali,2004,0,62,-4.632,13.727,972.6643882104576,1521.8156420283826
Mali,2004,0,63,-6.716,12.177,748.5311418874664,1347.1713650684524
Mali,2004,0,66,-5.829,10.466,847.187472662914,1158.6823618846568
Mali,2004,6,69,-2.7864001,15.0618,1168.9585785519673,1674.6143848268255
Mali,2004,4,90,-7.962,12.586,612.7514088852245,1391.5763134092335
Mali,2004,0,66,-7.3183999,13.8494,681.7381974204516,1531.7093231297413
Mali,2004,0,66,-5.6489,12.4908,864.3140198284923,1383.1325064808204
Mali,2004,41,86,-8.003,12.639,608.2751444058621,1397.4207824023244
Mali,2004,0,69,-7.8660998,13.2295,622.8549435364725,1462.79372267305
Mali,2004,0,71,-5.665,11.071,864.432681126498,1225.8683265071352
Mali,2004,0,70,-8.6188002,15.3007,540.9242550909006,1691.621113977177
Mali,2004,0,67,-4.484,15.615,984.5202814262417,1731.497062471576
Mali,2004,0,90,-8,12.597,608.6186895000602,1392.7768933793245
Mali,2004,0,66,-5.287,12.003,904.4497414415122,1329.613547092777
Mali,2004,0,69,-10.8189,14.3215,303.8226050959779,1584.0535367721873
